,Lat,Lon,Count
0,-25.87830938749999,152.96295693750005,32
1,-23.433466441911776,147.8191142278427,68
2,-25.309208242944795,152.78001485589732,163
3,-20.69274782972974,148.62633610810812,37
4,-26.243844270000007,151.41038021707772,35
5,-27.7479618768116,153.11912798985506,69
6,-21.08614879649681,149.16724565622562,157
7,-27.660329016666672,153.08415193214725,42
8,-26.7780842763441,153.10561042128057,186
9,-26.317886366666652,152.67837629549214,33
10,-27.19552206696425,153.0124637063233,112
11,-27.64184519300001,153.13883529775768,50
12,-26.196844301369854,152.67215121862267,73
13,-27.23133342254902,153.10864243163593,51
14,-28.692219320930246,151.0315767219139,43
15,-26.40185258124999,153.06602760915376,104
16,-27.500153430656933,152.968333025301,137
17,-27.954416299212607,152.62417116756004,127
18,-27.355306733116876,152.95321728380617,77
19,-27.90546481764706,153.37947981972562,119
20,-27.521647391796872,153.21653794810072,128
21,,,0
22,-26.97575906136363,152.95962304132593,110
23,-26.354203492000007,152.78674036400002,25
24,-27.67841390333333,153.11514941948724,75
25,-27.354657018333327,153.04726630318999,90
26,-27.373012835915485,152.851623394345,71
27,-27.64646404833333,153.11329714889914,90
28,-19.63398743487395,147.31371405448263,119
29,-15.57404140638297,144.69465782015112,47
30,-25.2362243479592,152.24851018708438,98
31,-27.453257396470583,152.99862184668586,85
32,-27.907946865789487,153.09578476315784,38
33,-27.661069413571408,153.0493058056035,140
34,-26.003956611764696,146.5568116294118,34
35,-27.53048013795619,152.4946975688818,137
36,-27.076145576271195,153.17303581864402,59
37,-28.608976418644062,150.23658139811596,59
38,-22.02437925337839,148.16028627227547,74
39,-16.897719644487196,145.71995674697797,390
40,-25.24917600333333,151.19091341713377,30
41,-27.65660381161616,153.1729276229758,99
42,-20.33555603541667,148.5587058167628,48
43,-27.44539671630434,152.93541236747805,46
44,-27.570982994256774,152.76982712525418,148
45,-27.796256532692308,152.86568747612986,26
46,-27.72063247371794,153.18108195210175,78
47,-27.11137880909091,153.05737156551996,11
48,-26.672211507727276,153.08830864037552,220
49,-24.744988238793102,152.2009948093527,58
50,-27.838484582203378,153.01697451759844,59
51,-28.13890452215191,153.47715943785124,158
52,-27.980001540112987,153.3391789888569,177
53,-25.95798234999999,153.07685789613942,28
54,-27.544502239313005,152.942102201159,131
55,-27.606419036979165,153.08169119438188,96
56,-26.09406635185185,152.06297176296292,54
57,-27.28705312711864,153.02006041355932,59
58,-26.614361073333345,153.00339895668836,60
59,-27.24456164839571,153.0028264079544,187
60,-27.627129608620677,152.83934106598565,174
61,-27.69648977777777,153.03558338611117,36
62,-28.011958765789487,153.28314980475446,95
63,-27.596620962132345,151.9137281079839,272
64,-27.803503323880584,153.09725261672082,67
65,-27.213498375000004,152.82231859190128,54
66,-27.680730757499997,153.14119871740348,60
67,-20.785322414545448,141.17043937454542,55
68,-25.83409896226414,152.57399410188685,53
69,,,0
70,-17.20769161542554,145.83904571315048,94
71,-27.669376175000014,152.8987887417195,74
